param,descrip,unit
PARfrac,Fraction of irradiance that is photosynthetically available (PAR),unitless
k_ext,Clear-water attenuation coefficient,m^-1
k_chlA,"Chlorophyll attenuation coefficient, factor",m^-1
k_chlB,"Chlorophyll attenuation coefficient, exponent",unitless
k_chlC,"Other material (CDOM,sediment,etc.) attenuation coefficient",m^-1
k_sed1,"Depth-based attenuation coefficient, factor",m^-1
k_sed2,"Depth-based attenuation coefficient, exponent",unitless
xi,Nitrogen:Carbon ratio,mmol N / mg C
ccr,"Carbon:Chlorophyll ratio, small phyto",mg C / mg Chl-a
ccrPhL,"Carbon:Chlorophyll ratio, large phyto",mg C / mg Chl-a
FeC,Fe:Carbon ratio    (2 umol Fe : mol C),umol Fe / mg C
DiS,Doubling rate parameter,d^-1
DiL,Doubling rate parameter,d^-1
DpS,Doubling rate exponent,degC^-1
DpL,Doubling rate exponent,degC^-1
alphaPhS,photosynthetic efficiency,mg C m^2 (mg Chl-a)^-1 (E^-1)
alphaPhL,photosynthetic efficiency,mg C m^2 (mg Chl-a)^-1 (E^-1)
k1PhS,Half-saturation constant for NO3 limitation, 
k1PhL,Half-saturation constant for NO3 limitation, 
k2PhS,Half-saturation constant for NH4 limitation, 
k2PhL,Half-saturation constant for NH4 limitation, 
FeCritPS,Threshold below which PhS is limited,umol Fe m^-3
FeCritPL,Threshold below which PhS is limited,umol Fe m^-3
kfePhS,Half-saturation constant for Fe,umol m^-3
kfePhL,Half-saturation constant for Fe,umol m^-3
fpPhSMZL,PhS->MZL  Feeding preference, 
fpPhLMZL,PhL->MZL  Feeding preference, 
fpPhSCop,PhS->Cop  Feeding preference, 
fpPhLCop,PhL->Cop  Feeding preference, 
fpMZLCop,MZL->Cop  Feeding preference, 
fpPhSNCa,PhS->NCa  Feeding preference, 
fpPhLNCa,PhL->NCa  Feeding preference, 
fpMZLNCa,MZL->NCa  Feeding preference, 
fpPhSEup,PhS->Eup  Feeding preference, 
fpPhLEup,PhL->Eup  Feeding preference, 
fpMZLEup,MZL->Eup  Feeding preference, 
fpCopEup,Cop->Eup  Feeding preference, 
fpDetEup,Det->Eup  Feeding preference, 
fpDetEupO,Det->EupO Feeding preference, 
fpCopJel,Cop->Jel  Feeding preference, 
fpNCaJel,NCa->Jel  Feeding preference, 
fpEupJel,Eup->Jel  Feeding preference, 
eMZL,maximum specific ingestion rate,mg C/mg C/d
eCop,maximum specific ingestion rate,mg C/mg C/d
eNCa,maximum specific ingestion rate,mg C/mg C/d
eEup,maximum specific ingestion rate,mg C/mg C/d
eJel,maximum specific ingestion rate,mg C/mg C/d
Q10MZL,Q10 for growth rate,unitless
Q10Cop,Q10 for growth rate,unitless
Q10NCa,Q10 for growth rate,unitless
Q10Eup,Q10 for growth rate,unitless
Q10Jele,Q10 for growth rate,unitless
Q10MZLT,Temperature coefficient for Q10,deg. C
Q10CopT,Temperature coefficient for Q10,deg. C
Q10NCaT,Temperature coefficient for Q10,deg. C
Q10EupT,Temperature coefficient for Q10,deg. C
Q10JelTe,Temperature coefficient for Q10,deg. C
fMZL,Half-saturation constant for grazing,mg C/m3
fCop,Half-saturation constant for grazing,mg C/m3
fNCa,Half-saturation constant for grazing,mg C/m3
fEup,Half-saturation constant for grazing,mg C/m3
fJel,Half-saturation constant for grazing,mg C/m3
gammaMZL,Growth efficiency, 
gammaCop,Growth efficiency, 
gammaNCa,Growth efficiency, 
gammaEup,Growth efficiency, 
gammaJel,Growth efficiency, 
mPhS,daily linear mortality rate (senescence),1/d
mPhL,daily linear mortality rate (senescence),1/d
mMZL,daily linear mortality rate,1/d
mpredMZL,Daily mortality for Large Microzoo.,1/d/mgC
mpredCop,Daily mortality for Copepods,1/d/mgC
mpredNCa,Daily mortality for Neocalanus,1/d/mgC
