variable,long_name,units,field,time,index_code,type,scale,variable_comment,long_name_comment,units_comment,field_comment,time_comment,index_code_comment,type_comment,scale_comment
phyto,phytoplankton,uM N,phytoplankton,ocean_time,idTvar(iphyto),r3dvar,1.0d0,Input/Output,,,,,,,
microzoo,microzooplankton,uM N,microzooplankton,ocean_time,idTvar(izoo),r3dvar,1.0d0,Input/Output,,,,,,,
det_small,small detritus,uM N,small detritus,ocean_time,idTvar(idets),r3dvar,1.0d0,Input/Output,,,,,,,
det_large,large detritus (aggregates),uM N,large detritus,ocean_time,idTvar(idetl),r3dvar,1.0d0,Input/Output,,,,,,,
NH4,ammonium,uM N,ammonium,ocean_time,idTvar(inh4),r3dvar,1.0d0,Input/Output,,,,,,,
NO3,nitrate,uM N,nitrate,ocean_time,idTvar(ino3),r3dvar,1.0d0,Input/Output,,,,,,,
ones_east,phytoplankton eastern boundary condition,uM N,phytoplankton,bry_time,"idTbry(ieast,iphyto)",nulvar,1.0d-16,Input,,,,,,,
ones_north,phytoplankton northern boundary condition,uM N,phytoplankton,bry_time,"idTbry(inorth,iphyto)",nulvar,1.0d-16,Input,,,,,,,
ones_south,phytoplankton western boundary condition,uM N,phytoplankton,bry_time,"idTbry(iwest,iphyto)",nulvar,1.0d-16,Input,,,,,,,
ones_west,phytoplankton southern boundary condition,uM N,phytoplankton,bry_time,"idTbry(isouth,iphyto)",nulvar,1.0d-16,Input,,,,,,,
ones_east,microzooplankton eastern boundary condition,uM N,microzooplankton,bry_time,"idTbry(ieast,izoo)",nulvar,1.0d-16,Input,,,,,,,
ones_north,microzooplankton northern boundary condition,uM N,microzooplankton,bry_time,"idTbry(inorth,izoo)",nulvar,1.0d-16,Input,,,,,,,
ones_south,microzooplankton western boundary condition,uM N,microzooplankton,bry_time,"idTbry(iwest,izoo)",nulvar,1.0d-16,Input,,,,,,,
ones_west,microzooplankton southern boundary condition,uM N,microzooplankton,bry_time,"idTbry(isouth,izoo)",nulvar,1.0d-16,Input,,,,,,,
ones_east,det_small eastern boundary condition,uM N,det_small,bry_time,"idTbry(ieast,idets)",nulvar,1.0d-16,Input,,,,,,,
ones_north,det_small northern boundary condition,uM N,det_small,bry_time,"idTbry(inorth,idets)",nulvar,1.0d-16,Input,,,,,,,
ones_south,det_small western boundary condition,uM N,det_small,bry_time,"idTbry(iwest,idets)",nulvar,1.0d-16,Input,,,,,,,
ones_west,det_small southern boundary condition,uM N,det_small,bry_time,"idTbry(isouth,idets)",nulvar,1.0d-16,Input,,,,,,,
ones_east,det_large eastern boundary condition,uM N,det_large,bry_time,"idTbry(ieast,idetl)",nulvar,1.0d-16,Input,,,,,,,
ones_north,det_large northern boundary condition,uM N,det_large,bry_time,"idTbry(inorth,idetl)",nulvar,1.0d-16,Input,,,,,,,
ones_south,det_large western boundary condition,uM N,det_large,bry_time,"idTbry(iwest,idetl)",nulvar,1.0d-16,Input,,,,,,,
ones_west,det_large southern boundary condition,uM N,det_large,bry_time,"idTbry(isouth,idetl)",nulvar,1.0d-16,Input,,,,,,,
NH4_east,ammonium eastern boundary condition,uM N,ammonium,bry_time,"idTbry(ieast,inh4)",nulvar,1.0d-16,Input,,,,,,,
NH4_north,ammonium northern boundary condition,uM N,ammonium,bry_time,"idTbry(inorth,inh4)",nulvar,1.0d-16,Input,,,,,,,
NH4_south,ammonium western boundary condition,uM N,ammonium,bry_time,"idTbry(iwest,inh4)",nulvar,1.0d-16,Input,,,,,,,
NH4_west,ammonium southern boundary condition,uM N,ammonium,bry_time,"idTbry(isouth,inh4)",nulvar,1.0d-16,Input,,,,,,,
NO3_east,nitrate eastern boundary condition,uM N,nitrate,bry_time,"idTbry(ieast,ino3)",nulvar,1.0d-16,Input,,,,,,,
NO3_north,nitrate northern boundary condition,uM N,nitrate,bry_time,"idTbry(inorth,ino3)",nulvar,1.0d-16,Input,,,,,,,
NO3_south,nitrate western boundary condition,uM N,nitrate,bry_time,"idTbry(iwest,ino3)",nulvar,1.0d-16,Input,,,,,,,
NO3_west,nitrate southern boundary condition,uM N,nitrate,bry_time,"idTbry(isouth,ino3)",nulvar,1.0d-16,Input,,,,,,,
